,lat,lon,labels
1828,28.5748893,77.0877023,-1
1829,28.5749268,77.1684721,12
1830,28.5749568,77.0915977,-1
1831,28.5750095,77.0675759,-1
1832,28.5750232,77.1980129,11
1833,28.5751025,77.2432684,2
1834,28.5751722,77.0971065,-1
1835,28.5751812,77.1393042,-1
1836,28.5752151,77.2295991,2
1837,28.5752251,77.2415558,2
1838,28.5752361,77.067756,-1
1839,28.5752723,77.1878506,11
1840,28.5753103,77.2275744,2
1841,28.5753478,77.2291371,2
1842,28.5753543,77.1686477,12
1843,28.5753881,77.2457644,2
1844,28.5754339,76.9121402,-1
1845,28.5754387,77.1236024,-1
1846,28.5755451,77.2092905,-1
1847,28.5755951,77.2093571,-1
1848,28.5757255,77.1694407,12
1849,28.5758624,77.2430389,2
1850,28.5759039,77.1971881,11
1851,28.5760199,77.1652909,12
1852,28.5760468,77.1950476,11
1853,28.5760847,77.1952318,11
1854,28.5761572,77.1952212,11
1855,28.5762492,77.09515,-1
1856,28.5763294,77.1948479,11
1857,28.5763708,77.1950799,11
1858,28.5764221,77.1957209,11
1859,28.5764368,77.1968807,11
1860,28.5764448,77.1957107,11
1861,28.5765127,77.2105542,-1
1862,28.5765364,77.195264,11
1863,28.5765459,77.2105728,-1
1864,28.576547,77.1957332,11
1865,28.5768012,77.2397878,2
1866,28.5768106,77.1954027,11
1867,28.5768608,77.2407455,2
1868,28.5769958,77.0895803,-1
1869,28.5770437,77.1966346,11
1870,28.5771581,77.1988355,11
1871,28.5772027,76.8627175,-1
1872,28.5772321,77.1864987,11
1873,28.5773239,77.2026242,11
1874,28.5773797,77.1737318,12
1875,28.5773881,77.1967295,11
1876,28.5773944,77.1742996,12
1877,28.57746,77.2381378,2
1878,28.5774648,77.0926199,-1
1879,28.577472,77.0533799,-1
1880,28.5774936,77.2381378,2
1881,28.5774978,77.1733511,12
1882,28.5775676,77.1769385,-1
1883,28.5775695,77.2599667,16
1884,28.5776067,77.1746902,12
1885,28.5777442,77.1751719,12
1886,28.5777701,77.1963263,11
1887,28.5777899,77.2667583,-1
1888,28.5778484,77.1488266,-1
1889,28.5778727,77.1845461,11
1890,28.5779224,77.1222556,-1
1891,28.5781401,77.2379053,2
1892,28.5782606,77.0999242,-1
1893,28.5782885,77.0995536,-1
1894,28.5783568,77.0473517,-1
1895,28.5784357,77.04832,-1
1896,28.5784813,77.1651434,12
1897,28.5784821,77.2383126,2
1898,28.5786627,77.1648102,12
1899,28.5788563,77.0542962,-1
1900,28.5789737,77.2663631,-1
1901,28.5790267,77.148443,-1
1902,28.5790955,77.0552344,-1
1903,28.5793879,77.2413036,2
1904,28.5794976,77.1659746,12
1905,28.5795413,77.1910525,11
1906,28.5795503,77.1921453,11
1907,28.5796637,77.2134862,-1
1908,28.5797419,77.2132558,-1
1909,28.5798966,77.2220134,18
1910,28.5800535,77.2217923,18
1911,28.5800809,77.2589647,16
1912,28.5801467,77.1645356,12
1913,28.5802175,77.2568324,16
1914,28.5802424,77.2415889,2
1915,28.5802837,77.25953,16
1916,28.5803212,77.2579187,16
1917,28.5803757,77.257053,16
1918,28.5804633,77.1793308,-1
1919,28.5804715,77.2552961,16
1920,28.5804766,77.2600296,16
1921,28.5805116,77.2649413,16
1922,28.580551,77.2416264,2
1923,28.5806458,77.2553873,16
1924,28.5807169,77.2585812,16
1925,28.5807546,77.2574627,16
1926,28.5807828,77.2562691,16
1927,28.5808568,77.2390019,2
1928,28.5808948,77.1726168,17
1929,28.5810588,77.2421487,2
1930,28.5811126,77.2595199,16
1931,28.5811819,77.2418828,2
1932,28.5812351,77.2571381,16
